"game","turn","roll"
"1","1","1"
"1","2","0"
"1","3","1"
"1","4","1"
"1","5","0"
"1","6","0"
"1","7","1"
"1","8","0"
"1","9","1"
"1","10","0"
"1","11","0"
"1","12","0"
"1","13","1"
"1","14","0"
"1","15","0"
"1","16","0"
"2","1","1"
"2","2","0"
"2","3","1"
"2","4","0"
"2","5","0"
"2","6","0"
"2","7","0"
"2","8","1"
"2","9","0"
"2","10","0"
"2","11","0"
"2","12","1"
"2","13","0"
"2","14","0"
"2","15","0"
"2","16","0"
"3","1","1"
"3","2","0"
"3","3","1"
"3","4","0"
"3","5","1"
"3","6","0"
"3","7","0"
"3","8","0"
"3","9","1"
"3","10","1"
"3","11","0"
"3","12","0"
"3","13","0"
"3","14","0"
"3","15","1"
"3","16","1"
"4","1","1"
"4","2","0"
"4","3","0"
"4","4","1"
"4","5","0"
"4","6","0"
"4","7","1"
"4","8","1"
"4","9","1"
"4","10","0"
"4","11","0"
"4","12","0"
"4","13","0"
"4","14","1"
"4","15","0"
"4","16","0"
"5","1","1"
"5","2","0"
"5","3","0"
"5","4","1"
"5","5","0"
"5","6","0"
"5","7","0"
"5","8","1"
"5","9","1"
"5","10","0"
"5","11","0"
"5","12","1"
"5","13","0"
"5","14","0"
"5","15","1"
"5","16","1"
"6","1","1"
"6","2","1"
"6","3","0"
"6","4","1"
"6","5","1"
"6","6","0"
"6","7","0"
"6","8","0"
"6","9","0"
"6","10","1"
"6","11","1"
"6","12","0"
"6","13","0"
"6","14","1"
"6","15","0"
"6","16","0"
"7","1","1"
"7","2","0"
"7","3","0"
"7","4","0"
"7","5","0"
"7","6","1"
"7","7","0"
"7","8","0"
"7","9","1"
"7","10","0"
"7","11","1"
"7","12","0"
"7","13","0"
"7","14","0"
"7","15","1"
"7","16","1"
"8","1","1"
"8","2","0"
"8","3","0"
"8","4","0"
"8","5","1"
"8","6","1"
"8","7","0"
"8","8","1"
"8","9","0"
"8","10","0"
"8","11","0"
"8","12","0"
"8","13","1"
"8","14","1"
"8","15","0"
"8","16","1"
"9","1","1"
"9","2","0"
"9","3","0"
"9","4","1"
"9","5","1"
"9","6","1"
"9","7","0"
"9","8","0"
"9","9","0"
"9","10","1"
"9","11","1"
"9","12","0"
"9","13","0"
"9","14","0"
"9","15","1"
"9","16","0"
"10","1","1"
"10","2","0"
"10","3","0"
"10","4","1"
"10","5","0"
"10","6","1"
"10","7","1"
"10","8","0"
"10","9","1"
"10","10","0"
"10","11","0"
"10","12","0"
"10","13","0"
"10","14","1"
"10","15","0"
"10","16","0"
"11","1","1"
"11","2","0"
"11","3","0"
"11","4","1"
"11","5","0"
"11","6","0"
"11","7","0"
"11","8","1"
"11","9","0"
"11","10","0"
"11","11","0"
"11","12","1"
